City,Time,Tempature,Weather,Comfort_Index,Prob_Precipitation
臺北市,今日白天,29~33,陰陣雨,悶熱至易中暑,70%
臺北市,今晚至明晨,22~29,陰陣雨,舒適至悶熱,100%
臺北市,明日白天,23~30,陰陣雨,舒適至悶熱,70%
新北市,今日白天,29~33,陰陣雨,悶熱至易中暑,70%
新北市,今晚至明晨,23~29,陰陣雨,舒適至悶熱,100%
新北市,明日白天,23~31,陰陣雨,舒適至悶熱,70%
桃園市,今日白天,29~33,陰陣雨,悶熱至易中暑,70%
桃園市,今晚至明晨,24~29,陰陣雨,舒適至悶熱,100%
桃園市,明日白天,24~30,陰陣雨,舒適至悶熱,70%
臺中市,今日白天,30~33,陰陣雨,悶熱,70%
臺中市,今晚至明晨,25~30,陰陣雨,舒適至悶熱,70%
臺中市,明日白天,25~30,陰陣雨,舒適至悶熱,70%
臺南市,今日白天,30~33,陰陣雨,悶熱,70%
臺南市,今晚至明晨,26~30,陰陣雨,舒適至悶熱,70%
臺南市,明日白天,26~31,陰陣雨,舒適至悶熱,70%
高雄市,今日白天,30~33,陰陣雨,悶熱,70%
高雄市,今晚至明晨,26~30,陰陣雨,舒適至悶熱,70%
高雄市,明日白天,26~31,陰陣雨,舒適至悶熱,70%
基隆市,今日白天,28~31,陰陣雨,悶熱,70%
基隆市,今晚至明晨,24~28,陰陣雨,舒適至悶熱,100%
基隆市,明日白天,24~31,陰陣雨,舒適至悶熱,70%
新竹市,今日白天,29~32,陰陣雨,悶熱,70%
新竹市,今晚至明晨,25~29,陰陣雨,舒適至悶熱,100%
新竹市,明日白天,25~31,陰陣雨,舒適至悶熱,70%
新竹縣,今日白天,29~33,陰陣雨,悶熱,70%
新竹縣,今晚至明晨,25~29,陰陣雨,舒適至悶熱,100%
新竹縣,明日白天,25~31,陰陣雨,舒適至悶熱,70%
苗栗縣,今日白天,29~32,陰陣雨,悶熱,70%
苗栗縣,今晚至明晨,24~29,陰陣雨,舒適至悶熱,90%
苗栗縣,明日白天,24~30,陰陣雨,舒適至悶熱,70%
彰化縣,今日白天,30~33,陰陣雨,悶熱,70%
彰化縣,今晚至明晨,26~30,陰陣雨,舒適至悶熱,70%
彰化縣,明日白天,26~31,陰陣雨,舒適至悶熱,70%
南投縣,今日白天,29~33,陰陣雨,悶熱至易中暑,70%
南投縣,今晚至明晨,24~29,陰陣雨,舒適至悶熱,70%
南投縣,明日白天,24~30,陰陣雨,舒適至悶熱,70%
雲林縣,今日白天,29~33,陰陣雨,悶熱,70%
雲林縣,今晚至明晨,23~29,陰陣雨,舒適至悶熱,70%
雲林縣,明日白天,23~30,陰陣雨,舒適至悶熱,70%
嘉義市,今日白天,30~34,陰陣雨,悶熱,70%
嘉義市,今晚至明晨,25~30,陰陣雨,舒適至悶熱,70%
嘉義市,明日白天,25~31,陰陣雨,舒適至悶熱,70%
嘉義縣,今日白天,30~33,陰陣雨,悶熱,70%
嘉義縣,今晚至明晨,25~30,陰陣雨,舒適至悶熱,70%
嘉義縣,明日白天,25~31,陰陣雨,舒適至悶熱,70%
屏東縣,今日白天,30~34,陰陣雨,悶熱至易中暑,70%
屏東縣,今晚至明晨,24~30,陰陣雨,舒適至悶熱,70%
屏東縣,明日白天,25~31,陰陣雨,舒適至悶熱,70%
宜蘭縣,今日白天,29~33,陰陣雨,悶熱至易中暑,70%
宜蘭縣,今晚至明晨,23~29,陰陣雨,舒適至悶熱,90%
宜蘭縣,明日白天,23~31,陰陣雨,舒適至悶熱,70%
花蓮縣,今日白天,33~35,陰天,易中暑,20%
花蓮縣,今晚至明晨,28~33,陰短暫陣雨,悶熱至易中暑,60%
花蓮縣,明日白天,28~32,陰短暫陣雨,悶熱,50%
臺東縣,今日白天,32~35,陰天,易中暑,20%
臺東縣,今晚至明晨,31~35,陰短暫陣雨,悶熱至易中暑,30%
臺東縣,明日白天,31~36,陰短暫陣雨,悶熱至易中暑,30%
澎湖縣,今日白天,31~33,陰天,悶熱,20%
澎湖縣,今晚至明晨,27~31,陰短暫陣雨,舒適至悶熱,70%
澎湖縣,明日白天,27~30,陰短暫陣雨,舒適至悶熱,70%
金門縣,今日白天,31~34,陰天,悶熱,0%
金門縣,今晚至明晨,27~31,陰陣雨,悶熱,70%
金門縣,明日白天,27~31,陰陣雨,悶熱,70%
連江縣,今日白天,29~31,陰天,悶熱,20%
連江縣,今晚至明晨,25~29,陰陣雨,舒適至悶熱,70%
連江縣,明日白天,25~29,陰陣雨,舒適至悶熱,70%
