Book_Name,ISBN,博客來,金石堂,誠品
Deep Learning：用Python進行深度學習的基礎理論實作,9789864764846,458,481,522
Python零基礎入門班：一次打好程式設計與邏輯訓練基本功!(附120分鐘影音教學/範例程式),9789864766222,308,308,351
Python入門邁向高手之路王者歸來(附光碟),9789865000592,552,552,629
Python GUI程式設計：PyQt5實戰,9789864343058,545,545,621
Python資料科學學習手冊,9789864766857,616,647,702
精通 Python：運用簡單的套件進行現代運算,9789863477310,616,647,702
Python初學特訓班(增訂版)(附250分鐘影音教學/範例程式),9789864764907,379,379,432
金融科技實戰：Python與量化投資,9789864342709,514,514,585
Python深度學習實作：Keras快速上手,9789864343133,390,395,425
Python 技術手冊(第三版),9789864766819,695,730,792
優雅的SciPy：Python科學研究的美學,9789864767878,458,481,522
超圖解 Python 物聯網實作入門：使用 ESP8266 與 MicroPython,9789863125235,664,615,629
圖說演算法：使用Python ,9789864342815,300,300,342
Python零基礎最強入門之路：王者歸來,9789865002237,411,411,442
Python 資料科學與人工智慧應用實務,9789863125297,618,572,553
Python深度學習,9789864342723,490,490,558
Python：期貨演算法交易實務121個關鍵技巧詳解,9789864342631,395,395,450
用Python學程式設計運算思維(收錄MTA Python微軟國際認證模擬試題),9789864768288,332,332,357
用Python開發經典遊戲,9789864342594,332,332,378
Python 自動化的樂趣：搞定重複瑣碎&單調無聊的工作,9789864762729,395,395,450
Python 神乎其技：精要剖析語法精髓，大幅提升程式功力!,9789863125419,494,458,442
特洛伊木馬病毒程式設計：使用Python ,9789864342808,411,411,468
AI+大數據-用Python玩轉金融遊戲的量化交易,9789865001261,537,537,612
Data Science from Scratch中文版：用Python學資料科學,9789864761982,458,481,522
資料視覺化：使用Python與JavaScript,9789864763269,537,564,612
Python新手使用Django架站技術實作：活用Django 2.0 Web Framework建構動態網站的16堂課,9789864343102,538,545,587
Python 程式設計「超入門」,9789863123798,332,370,378
Python架站特訓班：Django最強實戰,9789864765690,356,356,405
Python機器學習,9789864341405,458,458,522
高效率資料分析：使用Python ,9789864762613,458,481,522
Python 3.x 程式語言特訓教材,9789864767809,387,387,441
Python+Spark 2.0+Hadoop機器學習與大數據分析實戰,9789864341535,537,537,612
輕課程 micro:bit 微型電腦帶著走：使用Python輕鬆玩,9789864555246,119,135,135
秋聲教你玩Python：邊玩邊學更易上手,9789864342303,308,308,351
Python程式設計的樂趣：範例實作與專題研究的20堂程式設計課,9789864766987,435,435,495
圖解資料結構：使用Python ,9789864342365,395,395,450
輕課程 遇見樹莓派：使用Python入門趣玩GPIO,9789864555529,119,135,135
流暢的 Python：清晰、簡潔、有效的程式設計,9789863479116,774,813,882
Think Python：學習程式設計的思考概念 第二版,9789864761357,411,432,468
Python也可以這樣學,9789864342587,458,458,522
